,nome,cpf,idade,data,endereco,estado,pais
0,Caleb Sousa,126.347.590-61,51,11/03/1974,"Estrada da Rosa, 50
Vila Real 2ª Seção
71429-315 Souza / RR",Sergipe,Brasil
1,Heloísa Moreira,409.582.361-51,49,11/01/1976,"Rua Asafe Carvalho, 95
Outro
58198230 Nunes / TO",Distrito Federal,Brasil
2,Ana Liz Camargo,592.417.068-30,29,07/11/1995,"Lago de Sousa, 14
Conjunto Jardim Filadélfia
05976-540 Jesus / PE",Tocantins,Brasil
3,Gael Henrique Gonçalves,459.817.032-88,27,31/03/1998,"Praia de Carvalho, 522
Dona Clara
74396-908 Mendonça do Campo / SE",Minas Gerais,Brasil
4,Pedro Henrique Nunes,426.317.980-31,31,05/09/1993,"Conjunto Moura, 482
Pantanal
71238-657 Andrade / MA",Mato Grosso,Brasil
5,Mariana Vargas,673.805.914-01,29,02/11/1995,"Núcleo Anthony Aparecida, 70
Conjunto Jardim Filadélfia
00509107 Carvalho do Norte / SP",Rio Grande do Sul,Brasil
6,Théo das Neves,320.981.746-40,25,20/12/1999,"Rua Maria Júlia Cavalcanti, 3
Flavio De Oliveira
73077662 Montenegro da Praia / RJ",Piauí,Brasil
7,Daniela Fonseca,630.971.582-86,54,30/11/1970,"Colônia Maria Laura Viana, 73
Custodinha
29147541 Mendes / ES",Distrito Federal,Brasil
8,Ravi da Luz,640.753.218-35,53,28/11/1971,"Vereda de Martins
São Francisco
74614-183 Pastor da Serra / MG",Distrito Federal,Brasil
9,Sabrina Pires,964.827.513-00,60,19/09/1964,"Favela Nunes, 62
Trevo
25812903 Peixoto do Amparo / RR",Rio Grande do Norte,Brasil
10,Alice Oliveira,796.312.804-03,47,21/09/1977,"Rodovia Laís da Conceição, 281
Etelvina Carneiro
17960-995 Campos Paulista / AC",Rondônia,Brasil
11,Vicente Pimenta,136.987.042-69,49,28/02/1976,"Parque Nogueira
Monsenhor Messias
66850619 Vasconcelos / AC",Rio Grande do Sul,Brasil
12,Emanuelly Cardoso,079.326.854-00,56,11/04/1969,"Recanto de Campos, 35
Cardoso
52221035 Santos do Campo / RS",Rio de Janeiro,Brasil
13,Ana Beatriz Machado,467.085.192-67,54,06/06/1971,"Trevo Gael Camargo, 33
Serra Verde
89446397 Garcia / SC",Santa Catarina,Brasil
14,Kevin Santos,021.457.689-20,60,02/04/1965,"Alameda Pedro Henrique Ferreira, 6
São Jorge 3ª Seção
82729-837 Melo / AP",Sergipe,Brasil
15,Mariah da Luz,830.465.179-39,50,26/09/1974,"Loteamento de Santos, 39
Palmares
83407899 Pacheco / SC",Ceará,Brasil
16,Bryan Teixeira,086.324.759-83,51,16/07/1974,"Alameda Marina Farias
Vila Novo São Lucas
10912-658 Cardoso de Minas / AC",Paraná,Brasil
17,Diego Sousa,430.571.286-53,29,26/07/1995,"Morro Fonseca, 98
Céu Azul
96271094 Vargas de Santos / MT",Amapá,Brasil
18,Raquel Cardoso,973.641.085-48,25,21/06/2000,"Avenida Matheus Rezende, 89
Vila Maria
99780-960 Barbosa / CE",Minas Gerais,Brasil
19,Luigi Pastor,601.597.483-48,37,15/01/1988,"Conjunto Luiz Gustavo Machado, 70
Gutierrez
05647017 Jesus / MT",Bahia,Brasil
20,Maria Abreu,712.095.643-43,30,03/06/1995,"Largo de Jesus, 446
Vila União
84912-973 Marques de Minas / SE",Minas Gerais,Brasil
21,Maria Alice Aragão,351.240.897-41,25,31/08/1999,"Chácara de da Conceição, 67
Granja De Freitas
90166-420 Aparecida das Pedras / MS",Espírito Santo,Brasil
22,Dr. Francisco da Conceição,793.015.684-20,48,27/09/1976,"Morro de Peixoto, 89
Maria Helena
32188777 Aragão / RS",Mato Grosso do Sul,Brasil
23,Srta. Maria Vitória Cavalcanti,924.708.561-67,25,09/07/2000,"Viela Sales
Vila Nossa Senhora Do Rosário
79224-639 Garcia da Serra / BA",Minas Gerais,Brasil
24,Maria Clara Correia,320.764.851-71,33,27/01/1992,"Colônia Martins, 92
Vila Antena Montanhês
95630660 Pinto / MG",Amapá,Brasil
25,Emilly Guerra,698.340.172-78,18,31/05/2007,"Passarela Albuquerque
Flavio De Oliveira
98050768 Moreira / AM",Paraná,Brasil
26,Arthur Miguel Cirino,694.703.182-69,27,13/09/1997,"Viela Souza
Conjunto São Francisco De Assis
06913-619 da Rocha do Sul / PR",Amazonas,Brasil
27,Leandro Cavalcanti,709.185.624-49,54,04/07/1971,"Vereda Lucca Viana, 30
Jardim Guanabara
90736874 Fernandes / PE",Tocantins,Brasil
28,Cecilia Brito,543.612.790-80,57,04/10/1967,"Fazenda Brito, 54
Europa
62521721 Farias Verde / RR",Roraima,Brasil
29,Vitor Gabriel Dias,478.615.230-71,20,03/01/2005,"Feira de Silveira, 84
Novo Aarão Reis
10051967 Oliveira de Ribeiro / PR",Rio de Janeiro,Brasil
30,Marcos Vinicius Moura,298.041.375-50,24,25/07/2000,"Praça de Melo
Cinquentenário
48952148 da Mota / SC",Piauí,Brasil
31,Pedro Miguel Farias,715.834.269-73,25,11/09/1999,"Conjunto Manuella Rezende, 23
Das Industrias I
93643-148 Pereira de Cunha / GO",Amazonas,Brasil
32,Emilly Leão,654.972.310-80,34,03/06/1991,"Pátio Fernando Freitas, 842
Aparecida
66689-182 Ferreira do Sul / PI",Amazonas,Brasil
33,Vitor Hugo Duarte,789.210.654-58,46,10/10/1978,"Trevo de da Mata, 1
Vila Antena
46523077 Andrade / RN",Rondônia,Brasil
34,Caio Araújo,506.294.831-24,50,21/04/1975,"Viaduto Pimenta, 19
Alto Das Antenas
15927-736 Gonçalves / AP",Goiás,Brasil
35,Antônio Ferreira,836.710.429-31,48,04/10/1976,"Lago de Guerra, 8
Lagoinha
39815155 Oliveira / BA",Distrito Federal,Brasil
36,Vitor Hugo Pires,874.623.105-62,30,14/12/1994,"Alameda Ana Luiza Monteiro, 46
Vila Das Oliveiras
62063-601 Novais de Nogueira / RN",Amazonas,Brasil
37,Melina Santos,670.815.439-01,29,13/02/1996,"Colônia Barros, 7
Ventosa
13537-064 Rodrigues da Serra / SC",Piauí,Brasil
38,João Cassiano,298.371.504-32,40,02/09/1984,"Colônia Isabella Vasconcelos
Castelo
16860-184 Azevedo de da Cruz / AP",Bahia,Brasil
39,Thales Oliveira,436.871.205-62,33,04/06/1992,"Estrada de Viana, 52
Serra Do Curral
57617-089 Camargo do Campo / RJ",Rio Grande do Sul,Brasil
40,Catarina Camargo,861.043.295-51,36,29/12/1988,"Recanto de Cavalcanti, 23
Vila Coqueiral
94199385 Freitas / AC",Roraima,Brasil
41,Gustavo Farias,635.289.014-89,55,14/03/1970,"Vale Vargas, 354
Mala E Cuia
19351-810 Moura de Minas / ES",Rio de Janeiro,Brasil
42,Joana Araújo,879.256.034-29,31,18/02/1994,"Colônia Thomas Sousa, 83
Nossa Senhora Aparecida
15689-393 Cavalcante / RJ",Minas Gerais,Brasil
43,Luna Cavalcante,045.762.318-71,50,09/11/1974,"Campo de Cavalcanti, 355
Vila Petropolis
89760-693 da Luz Grande / BA",Mato Grosso do Sul,Brasil
44,Mateus Vargas,408.152.769-58,55,15/07/1970,"Setor Cecilia Alves, 212
Vista Do Sol
54793109 Cavalcante / TO",Acre,Brasil
45,Alexia Barbosa,107.256.984-11,51,13/11/1973,"Largo Ana da Cruz, 254
Jaraguá
53480-695 Macedo / ES",Mato Grosso,Brasil
46,Dra. Maria Flor Câmara,461.537.908-01,20,13/10/2004,"Sítio de Cavalcanti
Copacabana
96743-133 Campos Alegre / RJ",Rio de Janeiro,Brasil
47,Maria Liz Montenegro,970.213.546-06,32,31/05/1993,"Lagoa de Sá, 72
São José
88689636 Leão / MG",Pará,Brasil
48,Arthur Andrade,023.681.945-33,19,26/04/2006,"Avenida da Cruz, 52
Jardim Leblon
84256-255 Duarte / AC",Mato Grosso do Sul,Brasil
49,Heitor Farias,867.143.209-22,26,03/06/1999,"Vila Benicio Pacheco, 33
Guarani
21120428 Pimenta / AM",Minas Gerais,Brasil
50,Manuella Ramos,065.741.239-25,48,07/03/1977,"Chácara Garcia, 551
Paraíso
21885-958 Camargo do Galho / CE",Ceará,Brasil
51,Milena Moura,761.820.953-77,49,11/07/1976,"Trevo Fogaça, 86
São Francisco
12888585 Cunha Verde / ES",Distrito Federal,Brasil
52,Vitor Gabriel Silveira,139.478.265-91,19,27/07/2005,"Alameda de Camargo, 8
Conjunto Novo Dom Bosco
29377-418 da Luz Grande / MG",Rio de Janeiro,Brasil
53,Lucas Campos,729.650.143-06,31,23/10/1993,"Parque de Aparecida, 54
Pilar
25036-639 Correia / RS",Alagoas,Brasil
54,Sofia Garcia,168.243.957-73,47,10/12/1977,"Loteamento José Miguel Silveira, 83
Vila Independencia 1ª Seção
37173591 Souza / SE",Bahia,Brasil
55,Ravy Cunha,951.746.302-25,60,04/06/1965,"Estrada Theo Silveira, 60
São Vicente
41601685 Souza das Flores / AM",Amapá,Brasil
56,Bernardo Brito,247.395.861-00,34,13/09/1990,"Sítio Cunha, 74
Maria Goretti
37594-814 Lima / GO",Alagoas,Brasil
57,Olivia Porto,307.915.862-86,55,28/04/1970,"Viaduto Freitas, 9
Maria Helena
16473861 Pereira / RR",Tocantins,Brasil
58,Sr. Rael Rios,632.408.951-70,58,01/05/1967,"Conjunto Martins, 73
Mangueiras
97910216 Costa / CE",Minas Gerais,Brasil
59,Mateus Oliveira,081.263.957-02,46,05/08/1978,"Travessa Campos, 49
Vila Batik
75994123 da Paz Paulista / TO",São Paulo,Brasil
60,Marcos Vinicius Abreu,340.567.298-83,56,05/09/1968,"Trecho Garcia, 80
Floramar
55290-523 Cassiano de da Conceição / GO",Espírito Santo,Brasil
61,João Miguel Pinto,985.372.406-56,24,20/03/2001,"Chácara de Araújo, 18
Alto Dos Pinheiros
25310-644 Pinto Paulista / PI",Santa Catarina,Brasil
62,Dra. Caroline Monteiro,781.526.093-40,37,03/08/1987,"Passarela de Ramos, 34
Boa Viagem
31563357 Ferreira / AC",Distrito Federal,Brasil
63,Lorenzo Rios,158.963.042-42,21,26/07/2003,"Praça da Conceição, 27
Novo Santa Cecilia
46321597 Nunes / MS",Goiás,Brasil
64,Sra. Maria Vitória Pinto,415.830.629-98,18,21/08/2006,"Campo Rios
Etelvina Carneiro
98772523 Caldeira Paulista / TO",Rio de Janeiro,Brasil
65,Sr. José Miguel Rios,179.865.302-86,19,07/11/2005,"Distrito Ana Luiza Cassiano, 7
Conjunto Santa Maria
14768-799 Dias do Oeste / RJ",Santa Catarina,Brasil
66,Allana Garcia,235.741.980-60,40,23/10/1984,"Pátio de da Costa, 968
Santo Antônio
05372-422 Sousa da Serra / CE",Paraíba,Brasil
67,Maria Fernanda Lima,820.654.397-00,27,01/03/1998,"Morro Ramos, 89
Lagoinha
20505849 Barbosa / DF",Bahia,Brasil
68,Maitê Pacheco,059.617.238-95,28,15/02/1997,"Favela de Sampaio, 69
Virgínia
06760903 Sampaio / SP",Acre,Brasil
69,Mathias Nunes,561.832.970-03,27,05/12/1997,"Rua Henrique Vieira, 428
Senhor Dos Passos
13443-979 Ramos do Oeste / RS",Rio de Janeiro,Brasil
70,Sara Nunes,863.245.091-33,52,13/12/1972,"Morro de Silveira, 77
Barão Homem De Melo 3ª Seção
15431883 Pires de Ramos / PI",Amazonas,Brasil
71,Bárbara Campos,170.245.386-35,57,06/11/1967,"Estação de Cassiano, 68
Califórnia
03728369 Brito / PE",Goiás,Brasil
72,Dr. Luiz Miguel Correia,045.972.386-38,37,25/01/1988,"Passarela Costela, 6
Conjunto Minas Caixa
68995465 Viana do Amparo / RJ",Santa Catarina,Brasil
73,Laura Mendonça,407.695.821-76,55,21/04/1970,"Conjunto Ferreira, 44
Castanheira
66752-995 Monteiro / PI",Espírito Santo,Brasil
74,Mariana Peixoto,684.271.539-37,46,01/06/1979,"Vila Maria Julia da Mota, 6
Mangabeiras
74099182 Moraes / CE",Amazonas,Brasil
75,Luigi Freitas,358.629.410-70,52,14/08/1972,"Rodovia Carvalho, 45
Vila Mantiqueira
35183649 da Mata de Guerra / MT",Goiás,Brasil
76,Sabrina Cirino,217.530.984-32,35,26/01/1990,"Colônia Ramos, 98
Flamengo
25867923 Albuquerque da Serra / SP",Amazonas,Brasil
77,Gabriel da Mata,675.183.290-77,42,12/10/1982,"Travessa de Rezende
Universo
86438048 Marques de das Neves / BA",Ceará,Brasil
78,Raul Pastor,987.456.201-30,33,17/10/1991,"Jardim de Vasconcelos, 52
Coração De Jesus
28356249 Cardoso / AC",Alagoas,Brasil
79,Sophie Freitas,931.075.624-16,32,09/09/1992,"Distrito de Silva
Piratininga
76938-401 das Neves da Praia / RJ",Santa Catarina,Brasil
80,Srta. Nicole Carvalho,028.517.693-59,38,18/10/1986,"Setor de da Rosa, 584
Cardoso
88209-894 Costa de Sales / SC",Mato Grosso do Sul,Brasil
81,Isaque Costa,869.431.527-00,23,01/06/2002,"Viaduto Sarah Carvalho, 9
Santa Rita De Cássia
87758-860 Marques / RO",Goiás,Brasil
82,Pedro Miguel Farias,685.971.034-93,19,13/09/2005,"Trevo Lavínia Andrade, 6
Lindéia
26886-524 Fernandes / MA",Pará,Brasil
83,Theodoro Guerra,418.937.205-60,35,24/03/1990,"Viaduto Giovanna Abreu
Tupi B
98131596 Azevedo de Rios / AP",Alagoas,Brasil
84,Dra. Ester Lopes,813.904.567-57,28,07/01/1997,"Colônia Samuel Mendonça
Vila Minaslandia
84843-461 Ribeiro de Azevedo / DF",São Paulo,Brasil
85,Henrique Cunha,760.328.951-30,57,06/02/1968,"Lago Daniel Ribeiro, 2
Paquetá
35622136 Ramos / MS",Roraima,Brasil
86,Luiz Otávio Sampaio,796.138.502-95,56,17/05/1969,"Vereda Novaes, 1
Maria Helena
48609-687 Carvalho de Goiás / BA",Rondônia,Brasil
87,Mathias da Cunha,896.530.214-51,31,20/07/1994,"Aeroporto Asafe Monteiro, 4
Aeroporto
48466-654 da Rocha Grande / PA",Paraíba,Brasil
88,Sr. Erick das Neves,318.972.654-09,32,12/10/1992,"Viaduto Manuella Moraes
Ipe
82953509 Viana de Borges / PI",Amazonas,Brasil
89,João Miguel Martins,683.205.197-21,31,30/04/1994,"Aeroporto de Câmara, 8
Confisco
15977-863 Nascimento / AL",Santa Catarina,Brasil
90,Valentim Castro,814.652.379-09,20,30/01/2005,"Esplanada Eloá da Rosa, 53
Apolonia
53889-951 Teixeira / RJ",Amazonas,Brasil
91,Maria Sophia Brito,072.189.543-32,23,18/07/2002,"Trevo Cavalcante, 83
Baleia
33841630 Abreu do Galho / RR",Espírito Santo,Brasil
92,Evelyn Freitas,675.439.012-34,56,18/09/1968,"Parque Cauã Correia, 34
Urca
84587-338 Moura / SC",Paraná,Brasil
93,Vitória Ramos,734.102.869-69,31,05/01/1994,"Trevo Cunha, 88
Maria Helena
86680-093 Campos / AL",Tocantins,Brasil
94,Dra. Camila Viana,958.376.412-46,56,21/03/1969,"Campo de da Mata, 77
Vila Coqueiral
03648-651 Garcia Verde / PA",Mato Grosso do Sul,Brasil
95,Dra. Mariah Ferreira,341.679.528-82,39,28/04/1986,"Jardim Pietro Peixoto
Baleia
25760890 Duarte / PE",Roraima,Brasil
96,Rodrigo Vieira,754.368.021-17,25,05/03/2000,"Estrada Igor Sampaio, 1
Vila Boa Vista
97957-618 Gonçalves / RS",Goiás,Brasil
97,Dr. João Gabriel Viana,573.091.482-23,41,15/06/1984,"Esplanada Pinto, 36
Conjunto Jatoba
07488366 Camargo / MA",Pará,Brasil
98,José Pedro Monteiro,204.139.567-25,37,16/12/1987,"Avenida Asafe da Costa
Vila São Rafael
83403-160 Rezende de da Cunha / PB",São Paulo,Brasil
99,Rebeca Siqueira,625.984.713-00,33,17/04/1992,"Viaduto Ana Rios, 54
Vila Real 2ª Seção
26729-925 Costa dos Dourados / SC",Paraíba,Brasil
100,Ágatha Novaes,274.160.589-02,49,07/04/1976,"Esplanada de Porto, 863
Inconfidência
95928-132 Viana da Mata / RN",Alagoas,Brasil
101,José das Neves,964.582.703-56,18,12/07/2007,"Área Bento Marques, 16
Mariano De Abreu
91193-085 Azevedo do Norte / CE",Amazonas,Brasil
102,Elisa Cavalcante,352.789.014-97,53,01/09/1971,"Loteamento de Barbosa, 77
Lagoa
56966-380 Siqueira / ES",Mato Grosso do Sul,Brasil
103,Letícia Ribeiro,095.426.873-38,50,08/03/1975,"Praia de Brito, 297
Cidade Jardim Taquaril
57090-623 Alves das Pedras / MS",Amazonas,Brasil
104,Lívia Rezende,185.206.739-02,20,01/09/2004,"Passarela Sales, 7
Vila Nova Cachoeirinha 3ª Seção
70584964 Almeida / GO",Rondônia,Brasil
105,Cecilia Silveira,258.067.943-00,56,11/09/1968,"Favela de Sampaio, 98
Morro Dos Macacos
95759-679 Souza / MG",Amapá,Brasil
106,Isaac Mendonça,021.857.639-03,60,24/05/1965,"Conjunto de Guerra, 703
Santa Inês
30645158 da Cruz do Sul / RO",Rio Grande do Norte,Brasil
107,Maria Vitória Pinto,319.852.674-46,58,23/12/1966,"Residencial Bernardo Cunha
Vila Suzana Primeira Seção
91500-675 Rios do Galho / ES",Pernambuco,Brasil
108,Anthony Novais,528.369.410-06,24,03/07/2001,"Favela de Freitas, 90
Vila Minaslandia
26404-610 Garcia de Rezende / RR",Pará,Brasil
109,Sra. Maria Helena Marques,215.370.468-53,50,21/01/1975,"Praça Porto, 200
Vila São Gabriel Jacui
07635-898 Costa / SC",Acre,Brasil
110,Guilherme Moura,521.683.409-51,42,23/04/1983,"Passarela de Araújo, 16
Jardim Felicidade
64976-408 Sales da Praia / TO",Tocantins,Brasil
111,Luana Fonseca,836.012.594-51,41,17/02/1984,"Fazenda Nascimento, 6
Centro
62135-771 Machado de Minas / RS",Minas Gerais,Brasil
112,Dante Aragão,675.048.392-56,48,08/11/1976,"Campo Eloá da Conceição, 4
Vila Cloris
23341-391 Camargo / DF",Acre,Brasil
113,Sofia Freitas,194.528.067-02,48,30/05/1977,"Viaduto Luiz Miguel da Mata, 21
Nova Cintra
02282378 Machado do Amparo / RS",Pará,Brasil
114,Sr. Apollo das Neves,037.896.421-69,33,10/04/1992,"Jardim de Siqueira, 8
Maria Virgínia
97180673 Vieira / AC",Minas Gerais,Brasil
115,Beatriz Pereira,589.437.206-29,27,06/06/1998,"Vale Borges, 396
Vila Madre Gertrudes 4ª Seção
52348-601 Correia / SC",Rio Grande do Sul,Brasil
116,Luiz Gustavo da Paz,560.192.348-51,23,30/05/2002,"Rua de Brito, 996
Dona Clara
24193-464 Ramos Verde / SC",Bahia,Brasil
117,Cecília Sales,362.904.785-83,28,29/10/1996,"Parque Lucas da Mota, 50
Granja Werneck
52977091 Freitas / RR",Roraima,Brasil
118,Heitor Araújo,672.340.598-65,33,03/05/1992,"Sítio Maya Nunes, 417
Vila Batik
31473540 Peixoto / MT",Amazonas,Brasil
119,Daniela Rodrigues,076.348.512-80,30,16/09/1994,"Parque Melissa Cirino, 53
Providencia
56151845 Viana da Praia / PB",Mato Grosso,Brasil
