nome,cpf,idade,data,endereco,estado
Caleb Sousa,126.347.590-61,51,1974-03-11,"estrada da rosa, 50
vila real 2ª seção
71429-315 souza / rr",SERGIPE
Heloísa Moreira,409.582.361-51,49,1976-01-11,"rua asafe carvalho, 95
outro
58198230 nunes / to",DISTRITO FEDERAL
Gael Henrique Gonçalves,459.817.032-88,27,1998-03-31,"praia de carvalho, 522
dona clara
74396-908 mendonça do campo / se",MINAS GERAIS
Pedro Henrique Nunes,426.317.980-31,31,1993-09-05,"conjunto moura, 482
pantanal
71238-657 andrade / ma",MATO GROSSO
Mariana Vargas,673.805.914-01,29,1995-11-02,"núcleo anthony aparecida, 70
conjunto jardim filadélfia
00509107 carvalho do norte / sp",RIO GRANDE DO SUL
Théo Das Neves,320.981.746-40,25,1999-12-20,"rua maria júlia cavalcanti, 3
flavio de oliveira
73077662 montenegro da praia / rj",PIAUÍ
Daniela Fonseca,630.971.582-86,54,1970-11-30,"colônia maria laura viana, 73
custodinha
29147541 mendes / es",DISTRITO FEDERAL
Ravi Da Luz,640.753.218-35,53,1971-11-28,"vereda de martins
são francisco
74614-183 pastor da serra / mg",DISTRITO FEDERAL
Sabrina Pires,964.827.513-00,60,1964-09-19,"favela nunes, 62
trevo
25812903 peixoto do amparo / rr",RIO GRANDE DO NORTE
Alice Oliveira,796.312.804-03,47,1977-09-21,"rodovia laís da conceição, 281
etelvina carneiro
17960-995 campos paulista / ac",RONDÔNIA
Vicente Pimenta,136.987.042-69,49,1976-02-28,"parque nogueira
monsenhor messias
66850619 vasconcelos / ac",RIO GRANDE DO SUL
Emanuelly Cardoso,079.326.854-00,56,1969-04-11,"recanto de campos, 35
cardoso
52221035 santos do campo / rs",RIO DE JANEIRO
Ana Beatriz Machado,467.085.192-67,54,1971-06-06,"trevo gael camargo, 33
serra verde
89446397 garcia / sc",SANTA CATARINA
Kevin Santos,021.457.689-20,60,1965-04-02,"alameda pedro henrique ferreira, 6
são jorge 3ª seção
82729-837 melo / ap",SERGIPE
Mariah Da Luz,830.465.179-39,50,1974-09-26,"loteamento de santos, 39
palmares
83407899 pacheco / sc",CEARÁ
Bryan Teixeira,086.324.759-83,51,1974-07-16,"alameda marina farias
vila novo são lucas
10912-658 cardoso de minas / ac",PARANÁ
Diego Sousa,430.571.286-53,29,1995-07-26,"morro fonseca, 98
céu azul
96271094 vargas de santos / mt",AMAPÁ
Raquel Cardoso,973.641.085-48,25,2000-06-21,"avenida matheus rezende, 89
vila maria
99780-960 barbosa / ce",MINAS GERAIS
Luigi Pastor,601.597.483-48,37,1988-01-15,"conjunto luiz gustavo machado, 70
gutierrez
05647017 jesus / mt",BAHIA
Maria Abreu,712.095.643-43,30,1995-06-03,"largo de jesus, 446
vila união
84912-973 marques de minas / se",MINAS GERAIS
Maria Alice Aragão,351.240.897-41,25,1999-08-31,"chácara de da conceição, 67
granja de freitas
90166-420 aparecida das pedras / ms",ESPÍRITO SANTO
Dr. Francisco Da Conceição,793.015.684-20,48,1976-09-27,"morro de peixoto, 89
maria helena
32188777 aragão / rs",MATO GROSSO DO SUL
Srta. Maria Vitória Cavalcanti,924.708.561-67,25,2000-07-09,"viela sales
vila nossa senhora do rosário
79224-639 garcia da serra / ba",MINAS GERAIS
Maria Clara Correia,320.764.851-71,33,1992-01-27,"colônia martins, 92
vila antena montanhês
95630660 pinto / mg",AMAPÁ
Emilly Guerra,698.340.172-78,18,2007-05-31,"passarela albuquerque
flavio de oliveira
98050768 moreira / am",PARANÁ
Arthur Miguel Cirino,694.703.182-69,27,1997-09-13,"viela souza
conjunto são francisco de assis
06913-619 da rocha do sul / pr",AMAZONAS
Leandro Cavalcanti,709.185.624-49,54,1971-07-04,"vereda lucca viana, 30
jardim guanabara
90736874 fernandes / pe",TOCANTINS
Cecilia Brito,543.612.790-80,57,1967-10-04,"fazenda brito, 54
europa
62521721 farias verde / rr",RORAIMA
Vitor Gabriel Dias,478.615.230-71,20,2005-01-03,"feira de silveira, 84
novo aarão reis
10051967 oliveira de ribeiro / pr",RIO DE JANEIRO
Marcos Vinicius Moura,298.041.375-50,24,2000-07-25,"praça de melo
cinquentenário
48952148 da mota / sc",PIAUÍ
Pedro Miguel Farias,715.834.269-73,25,1999-09-11,"conjunto manuella rezende, 23
das industrias i
93643-148 pereira de cunha / go",AMAZONAS
