nome,cpf,idade,data,endereco,bairro,estado
Caleb Sousa,126.***.***-6,51.0,1974-03-11,"estrada da rosa, 50",vila real 2ª seção,RR
Heloísa Moreira,409.***.***-5,49.0,1976-01-11,"rua asafe carvalho, 95",outro,TO
Gael Henrique Gonçalves,459.***.***-8,27.0,1998-03-31,"praia de carvalho, 522",dona clara,SE
Pedro Henrique Nunes,426.***.***-3,32.0,1993-09-05,"conjunto moura, 482",pantanal,MA
Mariana Vargas,673.***.***-0,30.0,1995-11-02,"núcleo anthony aparecida, 70",conjunto jardim filadélfia,SP
Théo Das Neves,320.***.***-4,26.0,1999-12-20,"rua maria júlia cavalcanti, 3",flavio de oliveira,RJ
Daniela Fonseca,630.***.***-8,54.0,1970-11-30,"colônia maria laura viana, 73",custodinha,ES
Ravi Da Luz,640.***.***-3,53.0,1971-11-28,vereda de martins,são francisco,MG
Sabrina Pires,964.***.***-0,61.0,1964-09-19,"favela nunes, 62",trevo,RR
Alice Oliveira,796.***.***-0,48.0,1977-09-21,"rodovia laís da conceição, 281",etelvina carneiro,AC
Vicente Pimenta,136.***.***-6,49.0,1976-02-28,parque nogueira,monsenhor messias,AC
Emanuelly Cardoso,079.***.***-0,56.0,1969-04-11,"recanto de campos, 35",cardoso,RS
Ana Beatriz Machado,467.***.***-6,54.0,1971-06-06,"trevo gael camargo, 33",serra verde,SC
Kevin Santos,021.***.***-2,60.0,1965-04-02,"alameda pedro henrique ferreira, 6",são jorge 3ª seção,AP
Mariah Da Luz,830.***.***-3,50.0,1974-09-26,"loteamento de santos, 39",palmares,SC
Bryan Teixeira,086.***.***-8,51.0,1974-07-16,alameda marina farias,vila novo são lucas,AC
Diego Sousa,430.***.***-5,29.0,1995-07-26,"morro fonseca, 98",céu azul,MT
Raquel Cardoso,973.***.***-4,25.0,2000-06-21,"avenida matheus rezende, 89",vila maria,CE
Luigi Pastor,601.***.***-4,37.0,1988-01-15,"conjunto luiz gustavo machado, 70",gutierrez,MT
Maria Abreu,712.***.***-4,30.0,1995-06-03,"largo de jesus, 446",vila união,SE
Maria Alice Aragão,351.***.***-4,25.0,1999-08-31,"chácara de da conceição, 67",granja de freitas,MS
Dr. Francisco Da Conceição,793.***.***-2,48.0,1976-09-27,"morro de peixoto, 89",maria helena,RS
Srta. Maria Vitória Cavalcanti,924.***.***-6,25.0,2000-07-09,viela sales,vila nossa senhora do rosário,BA
Maria Clara Correia,320.***.***-7,33.0,1992-01-27,"colônia martins, 92",vila antena montanhês,MG
Emilly Guerra,698.***.***-7,18.0,2007-05-31,passarela albuquerque,flavio de oliveira,AM
Arthur Miguel Cirino,694.***.***-6,28.0,1997-09-13,viela souza,conjunto são francisco de assis,PR
Leandro Cavalcanti,709.***.***-4,54.0,1971-07-04,"vereda lucca viana, 30",jardim guanabara,PE
Cecilia Brito,543.***.***-8,58.0,1967-10-04,"fazenda brito, 54",europa,RR
Vitor Gabriel Dias,478.***.***-7,20.0,2005-01-03,"feira de silveira, 84",novo aarão reis,PR
Marcos Vinicius Moura,298.***.***-5,25.0,2000-07-25,praça de melo,cinquentenário,SC
Pedro Miguel Farias,715.***.***-7,26.0,1999-09-11,"conjunto manuella rezende, 23",das industrias i,GO
Emilly Leão,654.***.***-8,34.0,1991-06-03,"pátio fernando freitas, 842",aparecida,PI
Vitor Hugo Duarte,789.***.***-5,47.0,1978-10-10,"trevo de da mata, 1",vila antena,RN
Caio Araújo,506.***.***-2,50.0,1975-04-21,"viaduto pimenta, 19",alto das antenas,AP
Antônio Ferreira,836.***.***-3,49.0,1976-10-04,"lago de guerra, 8",lagoinha,BA
Vitor Hugo Pires,874.***.***-6,31.0,1994-12-14,"alameda ana luiza monteiro, 46",vila das oliveiras,RN
Melina Santos,670.***.***-0,29.0,1996-02-13,"colônia barros, 7",ventosa,SC
João Cassiano,298.***.***-3,41.0,1984-09-02,colônia isabella vasconcelos,castelo,AP
Thales Oliveira,436.***.***-6,33.0,1992-06-04,"estrada de viana, 52",serra do curral,RJ
Catarina Camargo,861.***.***-5,36.0,1988-12-29,"recanto de cavalcanti, 23",vila coqueiral,AC
Gustavo Farias,635.***.***-8,55.0,1970-03-14,"vale vargas, 354",mala e cuia,ES
Joana Araújo,879.***.***-2,31.0,1994-02-18,"colônia thomas sousa, 83",nossa senhora aparecida,RJ
Luna Cavalcante,045.***.***-7,51.0,1974-11-09,"campo de cavalcanti, 355",vila petropolis,BA
Mateus Vargas,408.***.***-5,55.0,1970-07-15,"setor cecilia alves, 212",vista do sol,TO
Alexia Barbosa,107.***.***-1,52.0,1973-11-13,"largo ana da cruz, 254",jaraguá,ES
Dra. Maria Flor Câmara,461.***.***-0,21.0,2004-10-13,sítio de cavalcanti,copacabana,RJ
