,nome,cpf,idade,data,endereco,estado,pais
0,Enrico Gomes,173.862.409-96,37,01/11/1987,"Passarela Lucas Gabriel Pimenta, 18
Santa Efigênia
66199-213 Silva / MA",Minas Gerais,Brasil
1,Isabella Cardoso,605.419.738-00,28,21/02/1997,"Esplanada de da Rosa, 91
Vila Paraíso
21291-388 Rezende do Amparo / SC",Pernambuco,Brasil
2,Emanuelly Castro,470.692.513-43,41,15/11/1983,"Distrito Abreu
Jardim América
51768-166 Silveira de Minas / AC",Bahia,Brasil
3,Srta. Sophie Duarte,052.174.938-79,22,15/03/2003,"Estrada de Nunes, 68
Vila Paraíso
29233-563 Viana Grande / SE",Paraná,Brasil
4,Bárbara Pastor,905.143.682-33,35,04/07/1990,"Residencial Ester Abreu, 295
Eymard
81647-077 Rodrigues de Ferreira / GO",Rio de Janeiro,Brasil
5,Fernanda Novaes,714.985.230-05,55,25/11/1969,"Avenida Novais
Vista Do Sol
21341-754 Cavalcante de Minas / RR",Mato Grosso do Sul,Brasil
6,Lara Cirino,718.945.603-10,45,17/07/1980,"Avenida Lima, 46
Bacurau
76669110 Brito / RN",Amapá,Brasil
7,Raquel Duarte,236.147.895-19,45,09/09/1979,"Loteamento Ana Clara Rocha, 412
Vila Madre Gertrudes 4ª Seção
42929320 Correia do Norte / RJ",Rondônia,Brasil
8,Gabriela Camargo,908.324.157-23,48,25/02/1977,"Área Andrade, 741
Marieta 1ª Seção
51331-376 Abreu / AL",Paraíba,Brasil
9,Daniel Carvalho,209.635.714-43,46,01/04/1979,"Quadra Novaes, 33
Vila Cloris
13492623 Pacheco de Duarte / RO",Alagoas,Brasil
